date,cash,open_positions,daily_pnl,total_pnl,trades_today
2026-05-19,10000.0,0,0.0,0.0,0
2026-05-20,7998.0,2,0.0,0.0,2
2026-05-20,8042.29,2,46.85,46.85,2
2026-05-22,8042.29,2,0.0,46.85,0
2026-05-22,7035.04,3,0.0,46.85,1
2026-05-26,7035.04,3,0.0,46.85,0
2026-05-27,8080.05,2,39.81,86.66,1
2026-05-28,8080.05,2,0.0,86.66,0
2026-05-29,8080.05,2,0.0,86.66,0
2026-06-01,8080.05,2,0.0,86.66,0
2026-06-02,9119.17,1,39.65,126.31,1
2026-06-03,9119.17,1,0.0,126.31,0
2026-06-04,9119.17,1,0.0,126.31,0
2026-06-05,9119.17,1,0.0,126.31,0
2026-06-08,9119.17,1,0.0,126.31,0
2026-06-09,8105.79,2,0.0,126.31,1
2026-06-10,8105.79,2,0.0,126.31,0
2026-06-11,8105.79,2,0.0,126.31,0
2026-06-12,7098.52,3,0.0,126.31,1
2026-06-15,7098.52,3,0.0,126.31,0
2026-06-16,7098.52,3,0.0,126.31,0
2026-06-17,6085.15,4,0.0,126.31,1
2026-06-18,6085.15,4,0.0,126.31,0
2026-06-22,4070.34,6,0.0,126.31,2
2026-06-23,4945.51,5,-122.55,3.76,3
2026-06-24,4945.51,5,0.0,3.76,0
